nen3610id,code,syntax_aantaldoorstroomopeningen,syntax_afvoercoefficient,syntax_bochtenknikverlies,syntax_breedteopening,syntax_categorie,syntax_code,syntax_detailniveaugeometrie,syntax_drempelpeil,syntax_featuretype,syntax_globalid,syntax_hoogtebinnenonderkantbene,syntax_hoogtebinnenonderkantbov,syntax_hoogteopening,syntax_hyperlink,syntax_indicatiewaterkerend,syntax_indpeilregulpeilscheidend,syntax_intreeverlies,syntax_kerendehoogte,syntax_lengte,syntax_lvpublicatiedatum,syntax_metadataid,syntax_naam,syntax_namespace,syntax_nen3610id,syntax_objectbegintijd,syntax_objectid,syntax_ontwerpbuitenwaterstand,syntax_openingspeil,syntax_openkeerpeil,syntax_opmerking,syntax_ruwheid,syntax_signaleringspeil,syntax_sluitpeil,syntax_soortmateriaal,syntax_statusleggerwatersysteem,syntax_statusleggerwaterveiligheid,syntax_statusobject,syntax_tijdstipregistratie,syntax_typekruising,syntax_typeruwheid,syntax_typewaterkerendeconstructie,syntax_uittreeverlies,syntax_vormkoker,syntax_waterkeringid,syntax_geometry,syntax_oordeel,general_000_maaiveldhoogte,general_001_delta_h,general_002_verval,general_003_slope,validate_000_bok_boven_plausibel,validate_001_bok_beneden_plausibel,validate_002_bok_boven_lt_maaiveld,validate_003_bok_beneden_lt_maaiveld,validate_004_Lengte_duiker_groter_dan_1m,validate_005_breedte_eq_hoogte,validate_006_op_hydroobject,validate_007_verhang_lt_2cmpm,validate_008_verval_lt_50cm,validate_009_geen_overlap,rating,valid,invalid,invalid_critical,invalid_non_critical,ignored,summary,tags_assigned,tags_invalid,date_check
NL.WBHCODE.7.Duikersifonhevel.23674,DR54230260,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.92,0.12999916076660156,0.12999916076660156,0.013265220228210367,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.28027,DR54230035,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.1,-0.020000457763671875,0.020000457763671875,-0.002857208251953125,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.25767,DR54230037,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.06,-0.030000686645507812,0.030000686645507812,-0.0037500858306884766,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.25895,DR54230034,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.03,0.23999977111816406,0.23999977111816406,0.059999942779541016,True,True,True,True,True,True,True,False,True,True,9,0;1;2;3;4;5;6;8;9,7,,7,,verhang_te_groot,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.19962,DR54230009,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.24,-0.06999969482421875,0.06999969482421875,-0.0034999847412109375,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.15538,DR54230214,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.59,0.09000015258789062,0.09000015258789062,0.0032165887798544716,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.29464,DR54230266,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.89,0.010000228881835938,0.010000228881835938,0.0010101241684007806,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.28959,DR80350067,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.8,0.12999916076660156,0.12999916076660156,0.0016249895095825195,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.24807,DR54230026,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.98,-0.10000038146972656,0.10000038146972656,-0.010000038146972656,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.23395,DR54230025,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.01,-0.029998779296875,0.029998779296875,-0.004999796549479167,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
